Comment,Designator,Footprint,LCSC,Quantity
74HC04D,IC1,SOIC-14_3.9x8.65mm_P1.27mm,C5590,1
MMBT2222A,Q1,SOT-23,C2150,1
3.579545MHz,Y1,Crystal_HC49-S_Vertical,C12674,1
1M,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17514,1
100R,"R2,R5,R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408,3
10K,"R3,R4,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,3
33p,"C1,C2",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1663,2
100n,"C3,C4,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678,3
